Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),Net Job Change,Percent Job Change,AI Impact Score,Career Stability Index,Median Salary Norm,High-Opportunity Career Score
Ceramics Designer,Retail,Decreasing,Moderate,72211.3,High School,5,1073,1829,7.61,20.72,India,55.85,756,70.46,2,55.86,0.35,0.63
Chiropodist,Retail,Increasing,Low,90116.03,High School,5,2667,1438,34.08,65.15,India,56.94,-1229,-46.08,1,-16.06,0.5,0.07
Water Engineer,Healthcare,Increasing,Moderate,64812.94,Master’S Degree,6,9794,5764,92.38,62.44,Australia,78.43,-4030,-41.15,2,-15.46,0.29,0.04
Animal Nutritionist,Education,Increasing,Low,41738.24,High School,6,9520,8776,81.51,46.78,Germany,67.35,-744,-7.82,1,-4.16,0.1,0.16
"Journalist, Broadcasting",Finance,Increasing,High,64897.31,Phd,11,4540,1996,97.81,89.6,Germany,77.22,-2544,-56.04,3,-5.83,0.29,-0.11
Industrial Buyer,It,Decreasing,High,102496.94,Associate Degree,16,2846,5782,1.07,73.08,Uk,41.77,2936,103.16,3,27.77,0.6,0.67
Media Buyer,Finance,Increasing,Low,59470.91,Bachelor’S Degree,4,3290,6658,18.64,12.1,Germany,51.41,3368,102.37,1,89.98,0.25,0.75
Legal Executive,Healthcare,Decreasing,Moderate,73567.18,Bachelor’S Degree,1,8806,833,7.78,47.06,Germany,20.12,-7973,-90.54,2,-47.93,0.36,-0.09
"Doctor, Hospital",It,Increasing,Low,122469.19,Bachelor’S Degree,6,309,5365,42.61,72.0,Usa,73.35,5056,1636.25,1,458.15,0.77,6.86
Multimedia Programmer,Finance,Decreasing,High,96261.78,Phd,3,1353,7982,29.41,26.71,Germany,25.9,6629,489.95,3,359.08,0.55,2.35
Risk Manager,It,Increasing,Moderate,54937.19,High School,10,6872,2619,25.13,98.3,China,28.15,-4253,-61.89,2,-1.05,0.21,-0.18
Youth Worker,Manufacturing,Decreasing,High,110472.77,Associate Degree,3,4232,2368,95.97,85.69,Germany,36.53,-1864,-44.05,3,-6.3,0.67,0.07
Recycling Officer,It,Increasing,Moderate,68625.46,Phd,12,103,8879,99.67,31.94,Brazil,57.07,8776,8520.39,2,5798.98,0.32,34.38
Travel Agency Manager,Transportation,Decreasing,High,140291.84,Master’S Degree,7,5362,2577,55.41,68.83,China,69.32,-2785,-51.94,3,-16.19,0.92,0.16
"Teacher, Secondary School",Entertainment,Decreasing,High,132906.71,High School,12,8912,3043,94.05,84.35,China,55.72,-5869,-65.86,3,-10.31,0.86,0.04
Manufacturing Engineer,Entertainment,Increasing,Moderate,109781.19,Master’S Degree,10,7670,3918,80.54,77.15,India,32.95,-3752,-48.92,2,-11.18,0.66,0.07
Community Pharmacist,Manufacturing,Increasing,Moderate,90408.82,High School,6,5240,4210,90.61,13.4,China,74.61,-1030,-19.66,2,-17.02,0.5,0.33
Tour Manager,Entertainment,Increasing,Low,140099.43,Bachelor’S Degree,15,4340,9431,38.25,66.65,China,74.5,5091,117.3,1,39.12,0.92,0.84
Quantity Surveyor,Healthcare,Decreasing,Moderate,68263.29,Associate Degree,10,2507,8989,51.17,29.29,Germany,72.84,6482,258.56,2,182.82,0.32,1.34
Publishing Rights Manager,Finance,Decreasing,Moderate,80883.54,Associate Degree,4,5986,4880,39.83,48.48,Brazil,31.23,-1106,-18.48,2,-9.52,0.42,0.21
Meteorologist,Education,Decreasing,Moderate,71383.18,Bachelor’S Degree,14,4574,6529,94.79,57.51,China,30.94,1955,42.74,2,18.16,0.34,0.4
Volunteer Coordinator,Retail,Decreasing,Moderate,113666.81,Phd,20,8957,9590,50.64,64.08,Uk,76.18,633,7.07,2,2.54,0.7,0.35
Musician,Transportation,Decreasing,Moderate,130024.39,Associate Degree,3,7274,9294,73.46,84.23,India,43.97,2020,27.77,2,4.38,0.83,0.41
"Sales Professional, It",Manufacturing,Increasing,High,62876.3,Master’S Degree,20,1271,3010,94.16,17.6,China,30.86,1739,136.82,3,112.74,0.27,0.88
Retail Banker,Entertainment,Increasing,Moderate,46069.15,Master’S Degree,16,5443,7004,73.4,84.6,Australia,62.57,1561,28.68,2,4.42,0.13,0.2
Games Developer,Healthcare,Decreasing,High,99597.5,Bachelor’S Degree,17,2428,7840,58.46,62.17,Canada,55.81,5412,222.9,3,84.32,0.58,1.18
"Accountant, Chartered",Finance,Decreasing,Moderate,85551.09,Bachelor’S Degree,11,5257,9137,15.02,4.84,China,49.9,3880,73.81,2,70.23,0.46,0.72
"Teacher, Primary School",It,Decreasing,Moderate,78732.58,Bachelor’S Degree,14,2830,9661,56.16,92.38,India,77.44,6831,241.38,2,18.39,0.41,1.11
It Sales Professional,It,Increasing,Low,96283.6,Associate Degree,18,5754,2434,94.27,35.21,India,44.54,-3320,-57.7,1,-37.38,0.55,0.13
Theatre Stage Manager,Manufacturing,Decreasing,Moderate,89456.87,Master’S Degree,12,8086,4981,93.93,22.39,Brazil,42.09,-3105,-38.4,2,-29.8,0.5,0.23
Museum/Gallery Curator,It,Increasing,Low,134691.05,Phd,19,3828,6111,23.21,17.78,Usa,65.8,2283,59.64,1,49.04,0.87,0.75
Petroleum Engineer,Healthcare,Decreasing,Moderate,47291.39,Phd,4,9874,8279,44.42,36.64,India,39.32,-1595,-16.15,2,-10.23,0.14,0.17
Health Service Manager,Education,Increasing,Moderate,109893.39,Associate Degree,7,2214,3221,52.37,98.7,India,60.35,1007,45.48,2,0.59,0.67,0.39
Planning And Development Surveyor,Finance,Decreasing,High,120998.27,Phd,7,9965,5384,73.99,70.91,Canada,59.41,-4581,-45.97,3,-13.37,0.76,0.13
Estate Agent,Manufacturing,Decreasing,High,129191.86,Bachelor’S Degree,19,5930,1998,19.42,29.27,Usa,38.27,-3932,-66.31,3,-46.9,0.83,0.19
"Scientist, Research (Life Sciences)",Manufacturing,Decreasing,Moderate,30183.23,High School,13,1702,3499,53.44,32.95,China,36.23,1797,105.58,2,70.79,0.0,0.62
"Surveyor, Mining",Transportation,Increasing,High,133839.11,Bachelor’S Degree,3,4087,6573,77.49,97.02,Usa,21.32,2486,60.83,3,1.81,0.87,0.51
"Producer, Radio",It,Increasing,Moderate,149177.06,Bachelor’S Degree,2,6372,7684,91.13,96.09,Brazil,22.37,1312,20.59,2,0.81,0.99,0.39
"Engineer, Materials",Healthcare,Decreasing,High,128939.27,Bachelor’S Degree,3,4674,940,90.24,35.11,Australia,69.63,-3734,-79.89,3,-51.84,0.82,0.12
"Surveyor, Insurance",Transportation,Decreasing,High,34467.8,Phd,11,8595,2356,90.03,73.46,Uk,48.23,-6239,-72.59,3,-19.27,0.04,-0.2
Ceramics Designer,Transportation,Increasing,Low,48498.17,Master’S Degree,10,166,4234,31.04,59.56,China,24.35,4068,2450.6,1,991.02,0.15,9.97
Public Librarian,Manufacturing,Decreasing,High,112694.29,Bachelor’S Degree,0,7127,786,41.21,38.49,Germany,31.11,-6341,-88.97,3,-54.73,0.69,0.04
Drilling Engineer,Finance,Decreasing,Moderate,117168.13,Master’S Degree,19,1803,6270,14.21,64.99,Uk,73.77,4467,247.75,2,86.74,0.73,1.31
Economist,It,Increasing,Low,85839.95,Master’S Degree,7,370,8428,16.21,20.95,Usa,24.91,8058,2177.84,1,1721.58,0.47,9.09
Electronics Engineer,Entertainment,Decreasing,Moderate,41568.32,Associate Degree,7,1641,8446,9.91,20.58,India,48.74,6805,414.69,2,329.34,0.1,1.93
Farm Manager,Healthcare,Decreasing,Moderate,122482.55,Bachelor’S Degree,18,6336,9949,25.45,87.64,Australia,69.66,3613,57.02,2,7.05,0.77,0.5
Location Manager,Transportation,Increasing,Low,128987.36,High School,10,316,6617,43.49,87.46,Uk,71.1,6301,1993.99,1,250.05,0.82,8.26
Amenity Horticulturist,Education,Increasing,High,144279.99,High School,6,581,6806,16.19,11.67,Germany,71.64,6225,1071.43,3,946.39,0.95,4.84
Special Educational Needs Teacher,Education,Increasing,Low,103008.1,Bachelor’S Degree,20,9655,8179,14.69,97.36,Brazil,23.19,-1476,-15.29,1,-0.4,0.61,0.13
Mental Health Nurse,Education,Decreasing,High,63364.07,Phd,8,9737,3603,51.88,81.05,Brazil,24.48,-6134,-63.0,3,-11.94,0.28,-0.11
Hydrologist,Transportation,Increasing,Low,106420.71,Bachelor’S Degree,20,6636,6527,1.66,49.82,Canada,40.94,-109,-1.64,1,-0.82,0.64,0.34
Bonds Trader,Manufacturing,Increasing,Moderate,129374.84,Associate Degree,18,7815,9402,75.29,70.53,India,79.53,1587,20.31,2,5.98,0.83,0.42
Product Manager,Healthcare,Increasing,Low,123066.75,Phd,2,9481,4889,56.0,63.09,China,22.03,-4592,-48.43,1,-17.88,0.78,0.15
"Production Assistant, Television",Entertainment,Increasing,Low,109282.35,Associate Degree,3,994,1417,24.76,4.89,China,55.65,423,42.56,1,40.47,0.66,0.65
Minerals Surveyor,Finance,Increasing,Moderate,49382.62,Bachelor’S Degree,1,3742,4073,79.82,91.02,India,38.2,331,8.85,2,0.79,0.16,0.11
"Engineer, Chemical",Finance,Increasing,Moderate,66741.46,Master’S Degree,13,2992,3517,62.79,5.14,Canada,46.21,525,17.55,2,16.64,0.31,0.45
Environmental Health Practitioner,Healthcare,Increasing,Low,99117.62,High School,18,765,3065,85.55,40.52,Germany,77.9,2300,300.65,1,178.83,0.58,1.55
Investment Analyst,Entertainment,Increasing,Low,130282.87,Master’S Degree,14,3230,2863,37.1,84.85,Brazil,33.92,-367,-11.36,1,-1.72,0.84,0.25
Media Buyer,Healthcare,Increasing,High,104463.36,Phd,4,4375,6430,31.99,89.55,China,37.56,2055,46.97,3,4.91,0.62,0.41
Aeronautical Engineer,It,Decreasing,Moderate,49214.16,Phd,8,419,6273,77.76,32.14,Canada,75.99,5854,1397.14,2,948.1,0.16,5.84
"Teacher, Early Years/Pre",Healthcare,Decreasing,Low,123289.32,Master’S Degree,18,6949,1766,10.19,40.26,Germany,67.83,-5183,-74.59,1,-44.56,0.78,0.11
"Librarian, Public",Entertainment,Increasing,Moderate,40138.82,High School,14,4461,3641,18.31,81.81,Usa,53.25,-820,-18.38,2,-3.34,0.08,0.01
"Scientist, Product/Process Development",Healthcare,Increasing,Low,88443.27,Phd,16,121,8613,5.53,15.39,Germany,55.01,8492,7018.18,1,5938.08,0.49,28.47
Civil Service Fast Streamer,Transportation,Increasing,Moderate,127590.49,Associate Degree,5,1028,2850,80.8,86.4,Australia,64.9,1822,177.24,2,24.1,0.81,0.99
Hospital Doctor,Retail,Increasing,Low,68766.22,Master’S Degree,4,2402,6663,72.03,98.8,China,29.92,4261,177.39,1,2.13,0.32,0.81
Aid Worker,It,Increasing,High,65837.11,Bachelor’S Degree,3,9480,7096,96.22,20.69,Canada,23.03,-2384,-25.15,3,-19.94,0.3,0.23
Chartered Accountant,Manufacturing,Increasing,Low,50235.18,Bachelor’S Degree,20,8311,9401,86.15,63.28,Australia,31.36,1090,13.12,1,4.82,0.17,0.21
Chiropodist,Healthcare,Increasing,Low,85545.38,Master’S Degree,8,1744,2315,93.73,37.04,Usa,31.73,571,32.74,1,20.61,0.46,0.46
Chief Of Staff,Manufacturing,Decreasing,Moderate,98958.74,Bachelor’S Degree,17,7923,1834,98.04,67.52,Usa,46.0,-6089,-76.85,2,-24.96,0.57,-0.04
Environmental Health Practitioner,Healthcare,Increasing,High,142616.86,Bachelor’S Degree,8,8830,7825,0.06,37.76,Australia,63.4,-1005,-11.38,3,-7.08,0.94,0.42
"Scientist, Biomedical",Retail,Decreasing,Low,125383.44,Associate Degree,0,618,8944,93.99,40.74,Usa,61.43,8326,1347.25,1,798.38,0.79,5.81
"Designer, Fashion/Clothing",Healthcare,Decreasing,Low,113297.32,Associate Degree,8,9548,7281,82.78,79.61,Usa,27.5,-2267,-23.74,1,-4.84,0.69,0.17
Information Systems Manager,Transportation,Increasing,High,113991.59,Associate Degree,12,7530,390,69.98,87.79,Usa,71.88,-7140,-94.82,3,-11.58,0.7,-0.13
Broadcast Presenter,Finance,Increasing,Low,76181.86,High School,6,6281,7520,49.96,12.27,Brazil,20.76,1239,19.73,1,17.31,0.38,0.46
Physiotherapist,Finance,Increasing,Low,54341.13,Associate Degree,17,6967,6939,69.48,10.07,Germany,44.41,-28,-0.4,1,-0.36,0.2,0.33
Aid Worker,Healthcare,Increasing,Moderate,77429.82,High School,19,3023,7599,42.83,81.12,Uk,55.33,4576,151.37,2,28.58,0.4,0.78
Oceanographer,Manufacturing,Increasing,High,70841.05,Bachelor’S Degree,11,4046,1708,37.3,7.09,Australia,33.01,-2338,-57.79,3,-53.69,0.34,0.15
Interior And Spatial Designer,It,Increasing,Low,94442.2,Master’S Degree,12,7885,4787,92.82,8.66,Usa,68.68,-3098,-39.29,1,-35.89,0.54,0.28
Clinical Biochemist,Entertainment,Increasing,Moderate,68850.84,High School,9,9336,8675,35.99,17.15,Australia,69.08,-661,-7.08,2,-5.87,0.32,0.32
"Engineer, Manufacturing Systems",Transportation,Decreasing,High,149781.35,Phd,8,331,9524,68.44,76.12,China,37.94,9193,2777.34,3,663.23,1.0,11.48
Charity Officer,Education,Increasing,Moderate,77432.87,High School,3,152,5053,13.01,80.8,India,53.82,4901,3224.34,2,619.07,0.4,13.07
Tax Inspector,Education,Decreasing,Low,144115.67,Bachelor’S Degree,3,5237,2017,96.21,85.85,Canada,49.69,-3220,-61.49,1,-8.7,0.95,0.08
"Journalist, Newspaper",Education,Decreasing,Low,95081.03,Associate Degree,15,2526,5731,52.5,74.24,India,23.16,3205,126.88,1,32.68,0.54,0.75
Commissioning Editor,Retail,Increasing,High,47537.77,Bachelor’S Degree,6,4198,7195,2.01,70.85,India,65.91,2997,71.39,3,20.81,0.15,0.42
It Sales Professional,Healthcare,Increasing,Low,130970.36,High School,16,4177,5593,17.66,37.95,Australia,21.92,1416,33.9,1,21.03,0.84,0.57
"Engineer, Civil (Consulting)",Healthcare,Increasing,Low,59210.07,Phd,12,3200,4919,32.7,71.96,Canada,64.95,1719,53.72,1,15.06,0.24,0.37
Counselling Psychologist,Healthcare,Increasing,Moderate,72058.61,Phd,2,7485,6442,87.66,37.7,Brazil,30.52,-1043,-13.93,2,-8.68,0.35,0.24
"Engineer, Manufacturing Systems",Finance,Increasing,Moderate,109356.55,Master’S Degree,10,9596,9947,93.72,32.66,China,75.6,351,3.66,2,2.46,0.66,0.42
Community Pharmacist,Entertainment,Decreasing,Low,142963.7,High School,16,8857,5261,56.22,13.86,India,31.9,-3596,-40.6,1,-34.97,0.94,0.38
Automotive Engineer,Healthcare,Decreasing,High,109415.32,Phd,1,8244,2582,3.67,70.81,Usa,22.04,-5662,-68.68,3,-20.05,0.66,0.01
Acupuncturist,It,Increasing,High,117834.71,Phd,6,6486,2155,75.96,65.79,Canada,47.88,-4331,-66.77,3,-22.84,0.73,0.06
"Teacher, Music",Manufacturing,Decreasing,Low,145798.12,Bachelor’S Degree,4,2141,8092,15.59,41.89,Brazil,57.73,5951,277.95,1,161.52,0.96,1.58
Electrical Engineer,Education,Increasing,Moderate,57580.63,Associate Degree,4,2067,8768,71.18,66.32,Uk,22.9,6701,324.19,2,109.19,0.23,1.47
Theatre Manager,Manufacturing,Increasing,High,44557.58,Bachelor’S Degree,7,8600,8451,49.05,83.13,Brazil,65.64,-149,-1.73,3,-0.29,0.12,0.08
Sales Promotion Account Executive,Finance,Decreasing,Low,34014.29,Bachelor’S Degree,4,9153,4251,72.94,70.21,India,48.75,-4902,-53.56,1,-15.95,0.03,-0.11
Multimedia Programmer,Entertainment,Increasing,Low,56135.47,Associate Degree,4,1229,7369,66.08,21.61,Usa,23.48,6140,499.59,1,391.63,0.22,2.3
Theatre Manager,Entertainment,Increasing,High,91977.75,Phd,3,4837,6074,33.76,25.2,China,54.17,1237,25.57,3,19.13,0.52,0.48
Health Promotion Specialist,Transportation,Increasing,Low,82613.9,Master’S Degree,19,8168,247,94.57,80.17,Usa,78.47,-7921,-96.98,1,-19.23,0.44,-0.2
Mechanical Engineer,Healthcare,Decreasing,High,139546.53,Master’S Degree,2,8634,6057,20.93,36.43,India,23.45,-2577,-29.85,3,-18.97,0.91,0.35
Public Relations Officer,Healthcare,Decreasing,Moderate,114687.7,High School,17,1573,4576,39.34,59.74,Usa,32.08,3003,190.91,2,76.86,0.71,1.1
Television Production Assistant,Healthcare,Decreasing,High,116137.46,Master’S Degree,20,6994,7015,90.45,94.18,Canada,72.82,21,0.3,3,0.02,0.72,0.23
Surgeon,Transportation,Decreasing,High,53663.8,High School,17,4610,349,46.16,53.06,India,43.59,-4261,-92.43,3,-43.39,0.2,-0.17
Clinical Psychologist,Education,Decreasing,High,65559.22,Associate Degree,8,3836,7536,98.5,44.05,Australia,70.7,3700,96.45,3,53.97,0.3,0.64
"Buyer, Industrial",Entertainment,Decreasing,Low,97707.95,Associate Degree,19,3744,7692,80.78,8.84,India,33.25,3948,105.45,1,96.13,0.56,0.86
Geochemist,Finance,Decreasing,Low,125897.7,Master’S Degree,14,2633,6432,9.43,12.37,Germany,51.42,3799,144.28,1,126.44,0.8,1.08
"Designer, Jewellery",Transportation,Decreasing,Moderate,112131.52,High School,0,224,8836,66.38,49.41,Usa,28.07,8612,3844.64,2,1945.0,0.68,15.74
Psychiatrist,Education,Increasing,Moderate,62451.48,Bachelor’S Degree,7,888,1424,56.65,60.73,Usa,57.72,536,60.36,2,23.7,0.27,0.44
"Surveyor, Land/Geomatics",Entertainment,Increasing,Moderate,40789.83,Associate Degree,0,9761,5197,34.55,4.13,Usa,41.54,-4564,-46.76,2,-44.83,0.09,0.13
Health And Safety Inspector,Finance,Decreasing,High,80088.65,Phd,1,2618,8552,42.17,85.67,China,32.31,5934,226.66,3,32.48,0.42,1.07
Hydrogeologist,Transportation,Decreasing,Moderate,136572.76,Associate Degree,9,3166,1962,95.26,2.92,Canada,71.56,-1204,-38.03,2,-36.92,0.89,0.41
Professor Emeritus,Education,Decreasing,Low,97488.67,High School,15,6982,2981,64.6,50.43,Canada,78.54,-4001,-57.3,1,-28.41,0.56,0.09
Systems Developer,Healthcare,Decreasing,High,41201.94,High School,10,4649,7882,14.39,51.91,Brazil,22.4,3233,69.54,3,33.44,0.09,0.45
"Civil Engineer, Contracting",Education,Decreasing,Low,131949.79,Associate Degree,10,2686,5686,55.48,60.19,China,54.35,3000,111.69,1,44.46,0.85,0.82
Psychotherapist,Education,Increasing,High,79089.3,Phd,15,7630,8829,34.24,73.65,Australia,31.35,1199,15.71,3,4.14,0.41,0.26
Economist,Retail,Decreasing,Low,34690.02,Associate Degree,11,2224,4485,94.27,88.99,Usa,75.8,2261,101.66,1,11.19,0.04,0.45
Social Worker,Transportation,Increasing,Low,48640.55,Phd,9,9839,2285,84.16,86.6,Usa,42.18,-7554,-76.78,1,-10.29,0.16,-0.22
Materials Engineer,Education,Increasing,High,107480.14,Associate Degree,9,8209,9061,3.82,54.8,Brazil,42.87,852,10.38,3,4.69,0.65,0.37
Economist,Healthcare,Decreasing,Low,95776.98,Phd,9,9570,2719,67.1,83.0,Usa,68.78,-6851,-71.59,1,-12.17,0.55,-0.07
Ecologist,It,Decreasing,Low,72609.75,High School,11,1667,1006,48.97,74.45,Uk,72.09,-661,-39.65,1,-10.13,0.36,0.02
"Surveyor, Mining",Healthcare,Increasing,Low,112087.25,Master’S Degree,0,1719,9407,24.92,55.04,Uk,33.86,7688,447.24,1,201.08,0.68,2.13
"Engineer, Maintenance (It)",Entertainment,Decreasing,Moderate,139712.5,Master’S Degree,10,170,8989,39.05,82.25,Usa,24.96,8819,5187.65,2,920.81,0.91,21.08
"Producer, Television/Film/Video",Manufacturing,Decreasing,Low,77192.8,Bachelor’S Degree,5,8599,5317,6.09,89.44,Australia,68.48,-3282,-38.17,1,-4.03,0.39,-0.0
Building Surveyor,Transportation,Increasing,Low,62828.37,Bachelor’S Degree,6,4099,6401,79.93,71.86,Usa,29.77,2302,56.16,1,15.8,0.27,0.39
Radio Broadcast Assistant,Retail,Decreasing,High,51791.67,Phd,1,8219,8073,84.11,13.02,Brazil,23.01,-146,-1.78,3,-1.55,0.18,0.31
Lexicographer,Entertainment,Increasing,Low,55760.02,Associate Degree,12,503,1346,67.15,96.86,Australia,75.13,843,167.59,1,5.26,0.21,0.74
"Research Officer, Political Party",Education,Decreasing,High,59454.94,High School,19,6704,5261,0.23,8.69,India,56.43,-1443,-21.52,3,-19.65,0.25,0.26
Educational Psychologist,Finance,Increasing,Moderate,42488.01,Associate Degree,5,402,6340,51.41,83.34,Usa,53.99,5938,1477.11,2,246.09,0.1,5.99
Comptroller,It,Decreasing,High,77281.53,Master’S Degree,5,2875,7619,18.72,2.01,Canada,60.24,4744,165.01,3,161.69,0.39,1.07
"Lecturer, Higher Education",Manufacturing,Decreasing,High,137571.97,Master’S Degree,9,1122,3444,69.87,86.68,China,64.01,2322,206.95,3,27.57,0.9,1.14
Probation Officer,Finance,Decreasing,High,130153.62,Bachelor’S Degree,18,6479,5918,5.12,50.34,India,77.22,-561,-8.66,3,-4.3,0.83,0.36
Science Writer,Transportation,Decreasing,Moderate,113793.89,Master’S Degree,16,7508,2627,63.25,76.79,Usa,26.47,-4881,-65.01,2,-15.09,0.7,0.02
"Sound Technician, Broadcasting/Film/Video",Manufacturing,Increasing,Moderate,107858.12,Associate Degree,4,1568,2277,45.49,8.58,Australia,29.3,709,45.22,2,41.34,0.65,0.65
Exercise Physiologist,Manufacturing,Decreasing,Moderate,38098.44,Phd,15,4561,9745,29.47,65.0,China,21.37,5184,113.66,2,39.78,0.07,0.58
Charity Fundraiser,Entertainment,Increasing,High,89396.08,Phd,13,1485,7901,21.66,27.42,Uk,73.9,6416,432.05,3,313.58,0.49,2.09
Volunteer Coordinator,Manufacturing,Increasing,Low,64110.39,Bachelor’S Degree,8,4618,503,79.42,6.15,Australia,46.97,-4115,-89.11,1,-83.63,0.28,0.01
Sport And Exercise Psychologist,Transportation,Decreasing,Moderate,34634.36,High School,9,1445,8431,39.76,0.15,Canada,42.83,6986,483.46,2,482.74,0.04,2.24
Careers Information Officer,It,Increasing,Low,44616.29,Master’S Degree,0,8759,1961,21.95,78.18,Usa,65.01,-6798,-77.61,1,-16.93,0.12,-0.21
Illustrator,Entertainment,Decreasing,Moderate,109252.44,Master’S Degree,19,3532,2877,68.64,12.1,India,64.88,-655,-18.54,2,-16.3,0.66,0.39
Animal Nutritionist,Retail,Decreasing,Moderate,134551.61,Phd,9,2006,1499,63.25,22.5,India,48.14,-507,-25.27,2,-19.59,0.87,0.39
Medical Illustrator,Retail,Decreasing,Moderate,50387.37,High School,7,9588,3110,54.35,78.2,China,54.6,-6478,-67.56,2,-14.73,0.17,-0.15
Marine Scientist,Healthcare,Increasing,Low,62145.09,Bachelor’S Degree,20,908,5230,53.9,29.02,Usa,67.75,4322,475.99,1,337.86,0.27,2.2
Futures Trader,Finance,Decreasing,Low,65680.54,Master’S Degree,3,4224,8820,10.11,85.45,Canada,49.52,4596,108.81,1,15.83,0.3,0.57
"Teacher, English As A Foreign Language",Manufacturing,Decreasing,Moderate,68860.07,Associate Degree,5,1268,4689,85.42,0.96,Brazil,45.28,3421,269.79,2,267.2,0.32,1.47
Occupational Therapist,It,Decreasing,High,73136.88,High School,14,4424,2717,0.5,31.59,Germany,31.24,-1707,-38.58,3,-26.4,0.36,0.16
Chief Marketing Officer,Education,Increasing,Low,41908.92,Phd,7,4748,4606,48.77,69.33,Germany,69.85,-142,-2.99,1,-0.92,0.1,0.11
Geophysical Data Processor,Transportation,Decreasing,Moderate,139500.27,Phd,3,9702,8480,9.99,7.32,Brazil,63.4,-1222,-12.6,2,-11.67,0.91,0.5
"Nurse, Learning Disability",It,Decreasing,High,62613.61,Phd,17,243,6694,77.06,88.97,Uk,32.52,6451,2654.73,3,292.82,0.27,10.73
"Psychologist, Occupational",Entertainment,Decreasing,Low,120206.9,Associate Degree,15,9481,2028,19.19,20.33,Australia,39.56,-7453,-78.61,1,-62.63,0.75,0.15
Dentist,Entertainment,Decreasing,Low,115182.65,Master’S Degree,14,2856,9310,6.38,14.4,Germany,53.54,6454,225.98,1,193.44,0.71,1.37
Garment/Textile Technologist,Manufacturing,Increasing,Low,81958.04,Bachelor’S Degree,20,4340,5232,98.37,46.01,India,61.1,892,20.55,1,11.1,0.43,0.37
Editorial Assistant,Education,Decreasing,Low,71644.15,High School,4,3045,1378,81.55,3.23,China,25.9,-1667,-54.75,1,-52.98,0.35,0.18
"Psychologist, Forensic",It,Decreasing,Low,65452.56,Bachelor’S Degree,6,4803,5188,54.95,27.81,China,47.25,385,8.02,1,5.79,0.3,0.34
Animal Nutritionist,Healthcare,Increasing,High,120403.35,Associate Degree,10,1909,4486,6.5,3.78,China,46.43,2577,134.99,3,129.89,0.75,1.05
